Name	Alternate name	Alternate name 2	RA 2000 (h:m:s)	DEC 2000 (d:m:s)	SuBr	Radial velocity (km/sec)	hrv error	galaxy type	Remarks
B3 0315+412B			03 18 51.06	+41 23 32.7	22.2			E/S0	
			03 18 53.06	+42 29 36.7	23			S?	
UGC 2659			03 18 53.31	+40 35 44.6	21.1	6158	11	S	
			03 18 53.19	+42 17 56.8	22.1			S	
PGC 12347			03 18 54.41	+41 48 11.4	21	4463	16	?	
			03 18 57.92	+41 38 06.6	21.3			S/S0?	
NGC 1270			03 18 58.06	+41 28 12.7	19	4965	16	E	
PGC 12349			03 18 58.23	+41 42 09.0	20.1	4247	46	S0?	
			03 18 58.89	+41 19 15.2	22.8			S	
			03 19 02.09	+41 37 12.3	22			S?	
			03 19 02.38	+42 07 21.9	21.6			S?	
PGC 12353			03 19 02.37	+41 33 01.0	20.8	4227	16	S0/S?	
			03 19 02.94	+41 30 15.7	22.4			S/Irr?	
PGC 12355			03 19 03.49	+41 58 27.6	20.2	4615	17	E	
PGC 12356			03 19 04.26	+41 13 58.3	20.7	5481	17	S0	
PGC 12358			03 19 04.77	+41 28 09.3	21.9	4027	39	Irr	
PGC 12361			03 19 06.04	+41 04 57.2	20.1	8391	163	E/S0?	
			03 19 07.13	+41 08 34.1	21.3			SB/SB0?	
			03 19 07.61	+39 59 26.8	22.7			S	
			03 19 07.61	+42 32 18.1	21.7			S?	
			03 19 08.41	+41 34 52.3	22.3			S	
			03 19 10.47	+40 01 33.2	21.9			S	
NGC 1271			03 19 11.25	+41 21 11.7	19.4	5751	71	S(comp)/S0	
PGC 12371			03 19 11.99	+41 05 21.2	19.8	5109	9	E	
PGC 12381			03 19 14.55	+41 08 29.3	19.9	8053	171	S0	
PGC 12378			03 19 17.72	+41 38 40.0	19.7	6211	24	E	
			03 19 18.43	+40 16 02.6	21.7			E?	
			03 19 20.14	+42 28 02.2	21.8			E	
NGC 1272			03 19 21.23	+41 29 26.8	19.5	3815	8	S0	
			03 19 21.74	+40 24 38.6	20.3			S/S0	
PGC 12386			03 19 22.35	+41 25 45.8	19.6	5310	17	S	
			03 19 23.88	+41 41 33.6	22.5			S	
			03 19 25.16	+42 39 23.9	22.9			S	
PGC 12392			03 19 25.66	+40 28 44.4	20.5	8194	36	S(early)BR	
NGC 1273			03 19 26.70	+41 32 26.0	19.2	5387	15	S0?	
UGC 2665			03 19 27.33	+41 38 07.2	21.1	7806	57	SB(R?)	
			03 19 27.82	+40 49 57.5	22.6			SB?	
UGC 2664			03 19 30.05	+40 44 31.9	22.8	6067	5	Irr	
			03 19 30.42	+42 29 29.1	23.1			SB	
			03 19 31.96	+41 18 15.1	22.7			E?	
IC 1907			03 19 34.20	+41 34 50.2	19.9	4500	29	S(B?)O	
PGC 12408			03 19 35.86	+41 09 03.8	20.2	5851	18	S/S0?	
			03 19 36.93	+41 10 15.7	22.3			?	
			03 19 37.09	+41 03 53.1	22.7			S?	
PGC 12409			03 19 37.23	+41 29 09.8	20	6661	19	SB0	
			03 19 37.43	+41 37 58.8	20.3			S	
			03 19 37.57	+41 22 48.4	22.3			E?/S?	
PGC 12411			03 19 40.15	+41 19 45.3	19.9	6170	18	S/S0?	
NGC 1274			03 19 40.52	+41 32 55.4	19.4	6413	22	Sa/S0?	
			03 19 40.88	+42 39 58.5	22.9			S?	
			03 19 42.12	+40 02 49.0	22.8			S?	
			03 19 42.39	+40 45 07.0	22.2			S	
PGC 12416			03 19 42.85	+41 36 03.0	21	3331	15	S(BR?)	
			03 19 43.78	+41 27 25.3	20.5			E	
PGC 12428			03 19 44.51	+41 16 41.2	20	5398	17	S/S0?	
PGC 12423			03 19 44.59	+41 26 47.5	20.9	3963	44	S?	
UGC 2668			03 19 45.47	+40 28 32.3	21.8			SBR	
			03 19 45.85	+41 58 35.8	20			S(comp)/E?	
			03 19 46.75	+41 16 13.4	21.3			E	
PGC 12430			03 19 47.76	+41 35 47.3	19.8	7450	24	E?	
NGC 1275			03 19 48.13	+41 30 42.2	19.1	5264	11	E(pec)	
			03 19 50.42	+43 09 53.8	22.1			?	
PGC 12433			03 19 51.22	+41 32 07.6	20.9	5821	18	E?	
			03 19 51.41	+40 50 50.2	22.6			?	
NGC 1277			03 19 51.45	+41 34 25.2	19.2	5066	28	S0	
			03 19 51.93	+40 32 06.5	22.2			S?	
PGC 12436			03 19 52.44	+41 32 59.7	21	6206	18	S	
			03 19 52.86	+42 17 46.8	22.5			S	
			03 19 52.91	+41 36 32.1	21.8			S(late)?	
PGC 12437			03 19 52.94	+41 18 08.7	20	3627	15	SB0/SB?	
NGC 1278			03 19 54.10	+41 33 48.6	19.5	6090	8	E	
			03 19 54.34	+42 00 53.3	20.9			S/S0?	
			03 19 55.15	+41 10 21.6	21.8			?	
			03 19 55.37	+42 18 27.6	22.2			SB(early)	
PGC 12443			03 19 55.52	+41 31 23.5	20.4	5486	17	E	
			03 19 56.53	+42 58 47.9	22.4			S?	
			03 19 56.69	+40 26 55.0	22.1			?	
			03 19 56.81	+41 47 51.0	21.7			E?	
			03 19 58.09	+43 03 34.5	22.5			S	
PGC 12448			03 19 59.04	+41 28 46.9	20.1	7285	19	S/S0?	
			03 20 00.02	+40 05 25.9	22.7			?	
PGC 12451			03 20 00.83	+41 33 13.9	19.6	5186	17	E	
UGC 2673			03 20 01.59	+41 15 04.1	19.9	4434	48	E/S0	
			03 20 02.88	+42 27 06.1	22.4			S	
			03 20 04.15	+40 51 31.3	22.5			S	
			03 20 04.16	+42 59 55.9	21.7			E	
UGC 2672			03 20 05.15	+40 54 22.2	19.6	4297	94	S(early)	
NGC 1281			03 20 06.03	+41 37 48.3	19.4	4300	12	S0	
			03 20 06.28	+40 21 58.5	21.1			S?	
PGC 12459			03 20 07.17	+41 49 58.6	20.6	4240	16	E?	
			03 20 07.99	+39 58 12.5	21.6			S	
			03 20 08.84	+42 48 21.8	22.6			?	
			03 20 09.90	+42 57 44.8	21.8			S	
PGC 12468			03 20 10.04	+41 21 04.3	19.9	2069	13	S	
			03 20 11.47	+42 00 46.7	22.4			SB?	
			03 20 11.85	+41 51 28.5	22.7			S	
			03 20 11.83	+43 06 58.6	21.4			S	
NGC 1282			03 20 12.02	+41 22 01.3	19.2	2139	5	E	
			03 20 12.27	+43 02 51.3	21.6			S	
PGC 12474			03 20 13.18	+41 17 12.8	20.6	7077	19	S(comp)/E?	
			03 20 14.29	+40 41 01.3	21.7			SB(early)	
			03 20 14.60	+42 55 46.9	22.4			S?	
NGC 1283			03 20 15.44	+41 23 55.3	19.4	6727	55	E	
			03 20 15.66	+42 57 15.9	21.7			S(early)	
			03 20 16.11	+40 46 29.5	22.6			S	
			03 20 16.04	+41 28 57.8	22.8			S?	
PGC 12485			03 20 17.31	+41 20 56.3	20.2	5235	17	E	
			03 20 19.11	+41 42 42.9	22.9			S	
			03 20 19.45	+40 49 21.6	22.1			SB?	
PGC 12497			03 20 20.88	+41 22 25.6	20.4	7020	19	S(B?)(early)	
			03 20 21.19	+43 05 33.6	22.3			S?	
PGC 12490			03 20 21.86	+41 38 26.9	20.7	3749	8	SBR(pec)	
MCG -071			03 20 25.10	+42 32 49.8	19.9			E/S0?	
			03 20 25.61	+42 04 13.8	21.6			S?	
PGC 12506			03 20 28.54	+41 29 20.0	19.8	5498	6	E?	
PGC 12507			03 20 29.28	+41 30 52.6	20.8	6621	18	SB/SB0	
			03 20 29.98	+43 07 21.6	21.3			E?	
PGC 12511			03 20 30.85	+41 30 32.5	20	4484	16	S?	
			03 20 31.15	+42 38 55.8	22.7			Irr	
NPM +42.0119			03 20 31.22	+43 06 50.6	20.7	15709	60	S?	
PGC 12513			03 20 32.02	+41 45 31.0	20.4	5012	17	S(comp)	
			03 20 32.67	+41 08 13.7	22.9			?	
PGC 12520			03 20 32.93	+41 43 56.4	21.1	7314	19	S	
			03 20 33.87	+41 13 18.6	22.1			S?	
			03 20 34.89	+42 59 11.9	22.7			S?	
B3 0317+428			03 20 38.19	+43 04 44.0	20.9	15499	90	E/S0?	
			03 20 38.18	+43 02 42.4	21.5			E	
			03 20 38.38	+41 09 26.7	22.8			Irr?	
			03 20 38.87	+41 27 04.3	22.2			S?	
			03 20 39.35	+42 33 42.4	22.4			Irr/S?	
			03 20 40.34	+41 31 04.6	22.1			S?	
			03 20 40.40	+41 34 31.9	21.9			S?	
PGC 12535			03 20 41.40	+42 48 14.5	20.9	6770	200	SBR	
			03 20 41.98	+42 31 12.5	21.2			E/S(comp)?	
PGC 12528			03 20 42.11	+41 24 14.5	20.3	3669	15	E/S0?	
			03 20 43.00	+43 03 31.0	21.2			SB0/Sa	
			03 20 45.19	+42 55 57.8	21.8			SB	
PGC 12541			03 20 45.94	+41 44 06.2	20.7	5359	17	S(early)	
			03 20 46.98	+42 57 12.8	22.6			E?	
			03 20 48.68	+42 38 40.9	21			S	
PGC 12544			03 20 49.26	+41 22 14.6	19.7	4950	52	S(B?)O	
PGC 12547			03 20 50.65	+41 36 01.9	19.3	5306	60	SB0	
			03 20 52.46	+40 49 18.3	21.9			S?	
			03 20 52.91	+43 06 29.1	21.2	14500	200	S	
			03 20 53.65	+40 41 01.3	22.2			S	
			03 20 53.94	+41 47 24.2	22.4			S	
			03 20 53.95	+43 01 52.4	21.9			?	
			03 20 54.11	+42 24 01.6	21.9			S	
			03 20 54.57	+42 17 35.3	22.1			?	
			03 20 57.03	+42 15 47.0	23.1			S	
PGC 12557			03 20 57.75	+41 30 23.1	19.3	4965	17	S(B?)(early)	
IC 313			03 20 57.88	+41 53 38.3	19.5	4432	11	E/S0	
			03 21 00.24	+43 05 26.2	21.9			SB(early)	
NPM +41.0112			03 21 00.21	+42 08 32.9	20.2			S	
PGC 12562			03 21 00.37	+41 33 45.2	19.3	4821	17	S0/Sa?	
			03 21 00.97	+40 19 37.8	20.6			S	
			03 21 01.23	+43 00 49.1	22.1			S?	
UGC 2686			03 21 01.30	+40 47 51.9	20	6090	18	SBR(early)	
PGC 12565			03 21 02.18	+41 24 34.2	20.2	4891	17	SB0	
			03 21 03.48	+40 02 01.9	22.3			?	
			03 21 03.59	+42 20 18.0	22.6			SB?	
PGC 12568			03 21 04.19	+41 33 20.5	20.5	4540	16	S(comp)?	
			03 21 04.36	+40 57 16.8	21.1			S	
			03 21 04.90	+42 01 16.0	22.3			?	
			03 21 07.18	+42 42 17.4	22.5			S?	
			03 21 07.64	+42 59 51.6	21.6			S?	
PGC 12570			03 21 08.81	+41 15 10.9	21	4754	17	S	
			03 21 12.34	+42 39 22.1	22.6			SB?	
NPM +40.0076			03 21 14.73	+40 15 12.9	20.4			S?	
			03 21 14.76	+43 04 23.8	21.3			S?	
			03 21 15.32	+43 03 27.1	22.4			S?	
			03 21 16.44	+43 04 35.8	22.4			S?	
			03 21 18.29	+40 37 38.1	20.3			S	
IC 316 NED\,2			03 21 19.90	+41 55 55.7	19.4	3015	31	S(B?)	
IC 316 NED\,1			03 21 19.93	+41 55 45.1	20	2882	14	S	
PGC 12580			03 21 20.80	+41 27 36.4	19.3	4411	19	S(early)	
			03 21 21.35	+41 01 28.7	21.7			S	
			03 21 24.23	+40 46 14.7	21.8			?	
			03 21 24.31	+41 08 09.3	22.3			S(early)	
			03 21 24.47	+41 39 05.1	22.7			S(late)	
			03 21 27.10	+40 13 25.4	21.7			S?	
UGC 2689			03 21 27.67	+40 48 06.1	19.6	277	11	Sa/S0?	
			03 21 27.81	+41 22 57.2	22.4			S?	
			03 21 27.85	+40 52 19.9	20.3			S(early)	
PGC 12590			03 21 28.78	+41 32 13.3	20	5944	18	S0/S?	
			03 21 29.34	+41 53 49.2	22.6			S?	
			03 21 30.29	+43 03 37.5	22.5			SB	
PGC 12593			03 21 32.83	+40 24 36.5	20	5423	17	S	
			03 21 33.59	+40 50 21.5	22.4			S(late)	
			03 21 33.63	+41 18 03.9	22.4			?	
NPM +40.0077			03 21 34.23	+40 43 20.4	20			S0/Sa	
PGC 12596			03 21 34.20	+41 30 22.0	20.2	7036	19	S	
NGC 1293			03 21 36.43	+41 23 34.4	19.3	4173	6	E/S0?	
			03 21 37.04	+42 26 03.5	22.9			SB	
			03 21 38.73	+42 48 18.8	22.7			S?/Irr?	
			03 21 39.56	+43 01 57.3	21.1			S	
NGC 1294			03 21 39.96	+41 21 38.3	19.4	6585	53	SB0	
			03 21 42.18	+42 05 55.1	21.2			S	
			03 21 42.84	+42 02 51.8	21.8			?	
			03 21 43.78	+42 21 04.1	20.8			SBa	
			03 21 45.55	+41 32 31.6	22.4			S(late)	
			03 21 49.35	+40 07 48.2	21.9			S?	
			03 21 51.48	+41 47 50.7	20.3			S?	
			03 21 53.35	+42 32 40.5	22.1			S	
			03 21 56.37	+41 17 54.3	21.7			S	
			03 21 57.36	+40 48 43.7	21.6			?	
PGC 12617			03 21 57.47	+41 33 08.2	20.4	5813	18	S/E?	
			03 21 59.67	+40 20 25.1	21.3			E/S?	
			03 21 59.84	+40 44 38.9	23.1			SB?	
			03 22 00.51	+41 10 08.5	22.3			S?	
			03 22 01.47	+41 41 50.5	22			S/E?	
			03 22 02.61	+41 58 25.3	20.6			S0/S?	
UGC 2698			03 22 02.89	+40 51 50.0	19.1	6421	14	E?	
			03 22 04.40	+40 02 30.3	22.8			S	
UGC 2696			03 22 05.13	+42 10 19.3	21	5453	94	S(late)	
			03 22 05.89	+42 54 55.6	21.5			?	
			03 22 06.51	+41 04 54.7	22.8			S(late)/Irr	
			03 22 07.20	+40 47 37.6	22.3			S?	
			03 22 08.11	+41 04 29.0	22.6			?	
			03 22 09.06	+41 27 03.1	21.3	6056	18	S?/S0?	
			03 22 09.86	+41 43 39.1	21.4			S(B?)	
			03 22 10.38	+40 14 44.7	20.3			S	
PGC 12627			03 22 11.62	+40 43 36.3	20	4788	94	SBR	
			03 22 16.87	+41 33 09.4	22.6			?	
PGC 12635			03 22 19.25	+41 26 43.8	20.9	6057	18	S/S0?	
			03 22 19.90	+41 08 53.2	21.8			E?	
			03 22 19.89	+41 15 19.3	21.5			SB	
			03 22 21.42	+40 00 35.6	19.6			SB0/SBa	
			03 22 21.72	+41 14 29.8	21.8			S	
			03 22 24.31	+42 17 22.3	21.5			S(B?)	
PGC 12641			03 22 24.46	+41 28 47.9	19.8	5346	17	S0/E	
			03 22 25.24	+41 25 56.4	22.7			?	
			03 22 27.06	+41 19 41.9	21.5			?	
			03 22 27.91	+42 16 27.2	21.8			SB	
			03 22 29.37	+41 03 01.1	20			S(B?)	
			03 22 29.36	+40 07 40.2	22.1			S	
			03 22 30.06	+42 02 13.9	22.7			S?	
			03 22 31.24	+40 13 02.9	23			SB	
MCG -080			03 22 31.36	+40 49 00.7	19.8			E/S0?	
			03 22 32.30	+43 04 58.6	22.5			?	
			03 22 32.73	+42 24 18.3	22.4			E/S?	
			03 22 32.92	+43 11 27.0	22.2			S(B?)	
			03 22 35.36	+41 56 19.5	21.6			?	
			03 22 35.50	+41 23 57.2	22			SB	
			03 22 38.48	+41 22 25.0	23.1			?	
			03 22 38.60	+41 53 11.6	23.1			S?	
			03 22 39.97	+41 53 29.7	23			S	
			03 22 40.90	+40 00 28.3	22.8			SB?	
			03 22 41.72	+41 46 02.0	22.4			?	
NPM +40.0078			03 22 42.05	+40 54 08.0	20.7			S	
			03 22 45.23	+42 26 03.9	21.7			E	
			03 22 46.01	+42 14 43.3	21.7			S	
			03 22 46.06	+41 49 59.8	21.4			S?	
			03 22 46.70	+41 56 29.3	21.9			E?	
			03 22 50.61	+41 01 40.3	21.7			S?	
			03 22 51.39	+42 20 09.6	21.8			S?	
			03 22 53.04	+41 13 48.6	21.8			S(late)	
UGC 2700			03 22 53.85	+42 33 12.0	20.7	6621	6	S(B?)	
			03 23 03.63	+40 51 20.5	21.1			?	
			03 23 04.24	+40 08 10.4	22.6			S	
			03 23 04.49	+41 28 04.7	21.8			S/E?	
			03 23 06.67	+42 02 59.9	22.1			SB0?	
			03 23 08.20	+42 17 36.3	21.9			S(late)	
			03 23 08.96	+40 17 38.9	21.1			S(comp)	
			03 23 09.57	+41 46 13.4	23.1			S(B?)	
			03 23 10.39	+40 17 57.8	21.7			S	
			03 23 11.24	+41 09 04.7	22.6			?	
			03 23 11.58	+40 26 46.9	22.2			S?	
			03 23 14.94	+41 52 33.3	22.8			S?	
			03 23 17.57	+41 11 56.9	22			E?	
			03 23 19.20	+40 26 02.9	22.1			S?	
			03 23 23.16	+40 30 22.1	22.5			S	
			03 23 24.55	+40 21 18.5	21.8			S	
			03 23 24.77	+41 49 21.4	23			?	
			03 23 25.05	+42 08 34.4	21.6			SB	
			03 23 26.60	+42 03 51.8	21			S	
			03 23 26.93	+41 24 23.6	20.5			SB0	
			03 23 27.56	+42 20 45.2	22			S	
			03 23 27.92	+40 19 33.9	21.9			SB	
			03 23 28.21	+42 05 52.1	22.9			S(late)	
			03 23 29.40	+42 40 02.1	22.8			SB	
			03 23 30.07	+41 33 57.3	21.3			?	
			03 23 30.12	+42 03 58.7	21.3			S(B?)	
			03 23 34.01	+41 48 21.3	22			SB	
			03 23 34.31	+42 22 13.9	22			S	
			03 23 34.82	+40 57 10.7	21.2			S	
			03 23 35.81	+40 35 12.1	22.5			?	
			03 23 38.35	+41 50 20.6	21.5			S?	
			03 23 47.02	+42 07 05.5	21.6			S?	
			03 23 47.54	+42 17 19.5	22.5			S	
UGC 2708 NED\,1			03 23 48.83	+40 33 27.9	19.8	8523	4	SB0/SBa	
			03 23 49.65	+42 08 56.9	22.1			S?	
UGC 2708 NED\,2			03 23 50.46	+40 34 55.2	20.9			S	
			03 23 50.91	+41 16 57.9	20.3			S/S0	
			03 23 52.35	+42 18 09.2	21.5			S/S0?	
			03 23 53.30	+41 23 50.6	20.3			S0/E	
			03 23 54.22	+41 41 51.4	20.9			S	
			03 23 56.56	+41 38 18.3	21.8			S	
			03 23 57.23	+41 28 15.2	21.9			S?	
NPM +41.0116			03 23 57.55	+41 31 19.2	20.6			SBa?	
			03 24 04.23	+40 52 25.8	20.8			?	
			03 24 06.74	+42 13 26.6	21			E/S?	
			03 24 09.49	+40 42 26.3	21.9			S	
			03 24 12.58	+40 53 26.5	23			S(late)	
			03 24 14.23	+40 41 26.8	21.9			S	
			03 24 14.46	+41 04 13.4	21.5			?	
			03 24 17.08	+40 37 43.0	21.8			E?	
			03 24 17.69	+41 05 31.2	21.6			S(early)	
			03 24 18.75	+39 59 22.0	22			?	
			03 24 22.81	+40 47 18.6	21.2			SB	
			03 24 26.31	+41 32 02.5	23.2			S(late)/Irr	
			03 24 27.76	+42 19 27.9	22.6			S(late)?	
			03 24 27.81	+41 04 41.3	21.7			SB?	
PGC 12740			03 24 30.29	+40 01 09.1	20.9	14150	22	E?	
			03 24 33.91	+41 36 34.5	21.6			SB0/SBa	
B3 0321+398			03 24 34.00	+40 02 53.3	21.2			E?	
			03 24 34.49	+40 22 36.7	22.1			E	
			03 24 35.46	+41 11 56.0	22.3			?	
UGC 2717			03 24 36.48	+40 41 26.8	19.5	3798	9	E	
			03 24 36.83	+39 59 06.9	22.6			E?	
			03 24 36.86	+40 54 48.7	22.5			SBR	
NPM +41.0117			03 24 37.04	+41 16 45.8	20.7			SB0	
			03 24 37.53	+42 04 12.4	22.3			E?	
			03 24 38.22	+40 49 09.9	21.1			S?	
			03 24 39.88	+40 42 22.9	22.3			SB?	
			03 24 40.07	+40 48 51.3	21.4			E?	
			03 24 41.05	+40 02 52.3	22.2			E?	
			03 24 42.47	+40 37 09.7	22.9			S(late)	
UGC 2718			03 24 43.69	+41 58 08.6	21.7	6871	19	SB(R?)/Irr?	
			03 24 47.52	+42 07 14.7	21.4			?	
IRAS03214+4053			03 24 49.25	+41 04 23.9	22.4	22200	200	S	
			03 24 50.26	+42 05 13.9	22.3			?	
			03 24 50.89	+40 19 24.2	22.8			?	
			03 24 52.32	+42 28 38.6	21.3			E	
			03 24 56.04	+40 49 37.9	21.3			E	
			03 24 57.17	+41 12 16.9	21.8			E	
			03 24 57.87	+42 15 04.0	22.9			S(late)	
			03 24 59.53	+43 06 47.6	20.4			E/S0	
			03 25 03.39	+40 58 31.3	21.4			SB	
IRAS03217+4023			03 25 05.38	+40 33 29.0	21.1	7007	75	Irr	
			03 25 06.35	+41 29 47.5	22.2			E?	
			03 25 07.86	+41 08 26.2	22.5			S	
UGC 2722			03 25 09.37	+42 24 07.3	21.4	3574	50	S(pec)	
			03 25 10.72	+40 01 59.4	21.7			E?	
UGC 2724			03 25 13.00	+40 41 52.7	22.7	14308	22	group	
UGC 2723			03 25 15.62	+42 40 23.6	22			SBR	
			03 25 16.46	+40 53 43.2	21.4			S?/SB0?	
NPM +42.0120			03 25 22.12	+42 42 45.2	20.9			S0	
PGC 12797			03 25 24.79	+40 32 12.4	21.2			SBR/R	
			03 25 25.59	+40 46 23.9	22.1			S	
UGC 2725			03 25 29.58	+41 14 27.4	19.6	6215	62	E	
			03 25 29.77	+40 20 42.8	22.6			S(late)	
			03 25 31.87	+40 42 07.7	20.3			S0/Sa	
			03 25 32.82	+41 51 15.1	22.5			S?	
			03 25 33.22	+41 40 51.0	23.2			S/Irr	
			03 25 43.05	+41 14 42.8	21.9			S	
			03 25 43.23	+41 54 28.4	22			?	
UGC 2728			03 25 43.93	+42 03 45.3	22.7			S(late)	
			03 25 46.73	+41 49 25.4	22.5			R/SBR?	
			03 25 48.13	+41 49 43.6	21.2			S	
			03 25 51.80	+43 04 04.8	22.8			?	
UGC 2730			03 25 52.35	+40 44 54.6	21.7	3772	8	S(late)	
			03 25 52.92	+39 58 55.8	22.3			E?	
			03 25 53.58	+41 18 19.9	22.4			S?	
			03 25 58.77	+41 53 28.1	22.9			S?	
			03 25 59.15	+40 08 26.1	22.7			E?	
IC 320			03 25 59.20	+40 47 20.7	20.4	6990	7	SBR	
UGC 2731			03 26 00.50	+42 01 30.0	22.6			S(late)	
			03 26 01.15	+40 41 40.5	21.3			S/S0?	
			03 26 02.64	+40 35 24.0	22.1			S/E?	
			03 26 02.91	+40 39 50.1	21.3			?	
UGC 2733			03 26 03.13	+41 15 08.2	19.4	5331	31	S0	
			03 26 07.42	+40 05 08.7	22.1			E?	
			03 26 08.14	+41 58 09.6	20.8			E	
			03 26 12.29	+42 38 36.2	21.2			S(early)	
			03 26 14.00	+40 47 58.3	22.2			S(B?)/Irr?	
			03 26 15.99	+42 51 33.0	21.3			S?	
			03 26 16.53	+40 12 50.8	22.4			?	
			03 26 16.66	+43 00 00.5	22.6			E?	
			03 26 21.48	+41 05 58.1	22.2			S?	
			03 26 21.43	+42 00 26.2	21.1			E	
			03 26 21.99	+43 05 27.9	21.8			?	
			03 26 26.59	+40 43 38.7	21.3			E	
UGC 2736			03 26 27.60	+40 30 28.6	19.8	5673	94	S(late)	
			03 26 30.34	+40 32 07.0	23			S(B?)	
			03 26 32.10	+41 18 49.8	22.7			SB?	
			03 26 34.68	+41 41 43.4	19.6			S(B?)	
			03 26 36.86	+41 56 33.3	22.6			S?	
			03 26 37.69	+41 10 11.7	22.4			SB0/SB?	
			03 26 43.94	+41 23 25.3	21.4			E/S?	
			03 26 52.76	+41 54 42.5	23.1			S?	
			03 27 00.62	+40 28 35.4	22.8			Irr	
			03 27 01.38	+42 01 47.0	21.8			E?	
			03 27 03.73	+41 47 56.5	22.2			S	
			03 27 07.50	+40 50 59.7	22.5			SB(R?)	
			03 27 07.48	+42 04 07.7	21.5			S?/E?	
			03 27 08.43	+43 09 21.8	22.3			S?	
			03 27 10.06	+40 06 23.5	22.1			S?	
			03 27 16.49	+42 11 48.4	22.7			SB(pec)	
			03 27 16.84	+40 54 31.5	22.9			?	
			03 27 18.11	+41 50 40.7	21.5			S?/S0?	
			03 27 26.25	+41 07 35.9	21.6			S	
			03 27 29.98	+40 36 34.6	22.9			S/Irr?	
			03 27 31.58	+41 44 37.6	23.1			S	
			03 27 34.87	+41 47 23.6	22.3			?	
			03 27 35.29	+42 31 30.6	22.3			S(late)	
UGC 2742			03 27 39.87	+40 53 48.6	20.6	4349	94	SB(pec)	
UGC 2743			03 27 47.94	+40 02 02.6	21.8	4070	15	S(late)	
			03 27 55.27	+39 59 50.4	19.9			S/S0	
			03 27 57.55	+40 23 26.9	19.7			S?	
			03 28 05.12	+41 26 27.2	22.4			?	
			03 28 07.97	+43 09 50.0	21.8			S	
			03 28 10.78	+40 09 48.8	21.8			SB	
			03 28 15.57	+40 09 35.0	20.3			?	
NPM +41.0120			03 28 18.86	+41 44 57.2	20.5			SB	
			03 28 26.51	+40 16 03.1	20.7			S(comp)/E	
			03 28 27.57	+39 57 31.3	21.1			?	
PGC 12933			03 28 27.76	+40 09 16.3	20.2	4262	15	SB/Irr	
UGC 2749			03 28 31.11	+40 03 28.5	21.6			SB(R?)	
			03 28 32.58	+41 04 38.3	22.5			E/S?	
			03 28 35.74	+42 01 29.3	22.3			S(late)?	
NPM +40.0081			03 28 37.01	+40 28 07.8	20.6			E/S(comp)?	
			03 28 38.65	+43 09 47.5	22.4			S(late)	
			03 28 41.83	+40 30 15.6	22.9			S(late)	
			03 28 42.99	+41 56 53.3	21.3			E	
			03 28 46.68	+40 20 12.8	22.8			S?	
			03 28 48.21	+42 56 43.9	21.9			?	
			03 28 48.79	+40 10 07.0	20.6			S/S0?	
			03 28 50.66	+40 00 53.7	22.4			Irr?	
			03 28 52.52	+41 11 58.4	21.8			?	
UGC 2751			03 28 53.74	+40 02 11.6	20.4			R	
PGC 12960			03 28 55.42	+41 56 22.0	19.9	4743	16	S	
			03 29 01.14	+40 12 51.0	20.8			E?	
UGC 2752			03 29 04.06	+40 49 25.3	19.9	4179	94	S(B?)(early)	
			03 29 11.40	+43 07 40.6	21			S?	
NGC 1330			03 29 4.05	+41 40 41.0	20	5737	80	S/S0	
			03 29 14.95	+43 07 43.1	21.5			SB	
			03 29 20.85	+41 34 14.6	21.4			S?	
			03 29 29.39	+40 34 10.4	21.2			E?	
			03 29 29.39	+40 23 20.1	23			SB?	
			03 29 35.10	+40 04 49.9	21.3			S?	
UGC 2756 NED\,1			03 29 35.18	+40 52 07.8	19.5	5061	37	S0	
UGC 2756 NED\,2			03 29 35.69	+40 52 36.8	20.3			E?	
			03 29 39.38	+41 36 11.2	21.1			S?	
			03 29 39.56	+41 09 12.4	22.8			S	
			03 29 43.66	+40 21 08.0	23.1			Irr/S?	
PGC 12992			03 29 51.04	+40 01 47.8	21	6805	18	S	
			03 29 56.95	+41 44 04.0	22.1			Irr?	
NGC 1334			03 30 01.84	+41 49 55.3	20.2	4274	10	SB(R?)	
UGC 2760			03 30 09.07	+42 57 09.5	22.1			SB	
			03 30 11.25	+43 00 03.9	21.4			E?	
