Name	Alternate name	Alternate name 2	RA 2000 (h:m:s)	DEC 2000 (d:m:s)	SuBr	Radial velocity (km/sec)	hrv error	galaxy type	Remarks
2MASX J03170749+4052522	BM99-134		03 17 07.40	+40 52 52.1	19.9				Small, elongated oval.
2MASX J03172017+3808304			03 17 20.17	+38 08 30.4					
2MASX J03172944+4023475	NPM1G +40.0074		03 17 29.36	+40 23 47.4	20.3				
UGC 2637			03 17 31.03	+38 01 34.4		5126	10		
2MASX J03174508+4210522	BM99-155		03 17 45.00	+42 10 51.9	20.3				Small, faint haze 24" NE of 12th mag star.
UGC 2640			03 17 52.30	+43 18 15.0		6116	10		Faint, moderately small oval.
UGC 2647	CGCG 525-19		03 18 18.50	+38 59 59.0		6012	18		Small, faint oval.
BM99-183			03 18 21.35	+41 04 19.2	21.3				Small and relatively bright.
UGC 2655			03 18 45.10	+43 14 20.0		6191	8		
2MASX J03190715+4108330	BM99-227		03 19 07.13	+41 08 34.1	21.3				
UGC 2661			03 19 11.80	+39 26 36.0		5980	27		Elongated with bright, stellar core.
2MASX J03192170+4024381	BM99-239		03 19 21.74	+40 24 38.6	20.3				Faint foreground star (and maybe second, fainter one, visible at 400X) becomes enveloped by small, elongated patch with averted vision.
MCG+7-7-61	CGCG 540-101		03 19 34.20	+41 34 50.2	19.9	4500	29		Easy. Uranometria incorrectly labels as IC1907.
PGC 12417	2MASX J03193743+4137580		03 19 37.43	+41 37 58.8	20.3	8574	20		
2MASX J03194386+4127251	2MASXi J0319438+412725	BM99-263	03 19 43.78	+41 27 25.3	20.5	3937	142		
UGC 2668	PGC 12426		03 19 45.48	+40 28 32.1					Very difficult.
2MASX J03194584+4158352	BM99-267		03 19 45.85	+41 58 35.8	20.0				
2MASX J03195440+4200526	BM99-281		03 19 54.34	+42 00 53.3	20.9				
V Zw 338			03 20 02.70	+41 30 34.0		4827	17		Not in BM99.
MCG+7-7-71	PGC 12494		03 20 25.10	+42 32 49.8	19.9				Moderately large circular haze with brighter central region.
PGC 12537	2MASX J03204603+4144055		03 20 46.00	+41 44 06.0		5359	17		
UGC 2681	PGC 12548		03 20 51.92	+39 05 44.5					Very faint. Some nearby faint reference stars makes this possible to detect within starless field.
UGC 2685			03 20 52.85	+38 15 12.3		5037	5		
MCG +6-8-15	CGCG 525-022		03 20 53.75	+37 52 01.6		5043	17		
2MASX J03210025+4208327	NPM1G +41.0112	BM99-363	03 21 00.21	+42 08 32.9	20.2				
2MASX J03211470+4015130	NPM1G +40.0076		03 21 14.73	+40 15 12.9	20.4				
2MASX J03211830+4037379	BM99-382		03 21 18.29	+40 37 38.1	20.3				
2MASX J03213424+4043200	NPM1G +40.0077		03 21 34.23	+40 43 20.4	20.0				
2MASX J03214379+4221039	BM99-409		03 21 43.78	+42 21 04.1	20.8				
2MASX J03220261+4158250	BM99-421		03 22 02.61	+41 58 25.3	20.6				
2MASX J03221984+4108529	BM99-435		03 22 19.87	+41 08 53.0					
2MASX J03221984+4115189	BM99-436		03 22 19.87	+41 15 19.0					
2MASX J03222134+4000359	BM99-437		03 22 21.42	+40 00 35.6	19.6				
2MASX J03222170+4114299	BM99-438		03 22 21.72	+41 14 29.8	21.8				
2MASX J03222930+4103009	BM99-444		03 22 29.37	+41 03 01.1	20.0				Very difficult, small oval. Hazy, but occassionally see stellar core.
MCG+7-7-80			03 22 31.36	+40 49 00.7	19.8				Small, faint oval.
2MASX J03223548+4123578	BM99-453		03 22 35.50	+41 23 57.2	22.0				
2MASX J03225298+4113477	BM99-466		03 22 53.04	+41 13 48.6	21.8				
2MASX J03232697+4124235	BM99-486		03 23 26.93	+41 24 23.6	20.5				
2MASX J03235337+4123505	BM99-505		03 23 53.30	+41 23 50.6	20.3				Small, faint circle. Forms right triangle with a pair of 10-11th mag stars 46" W.
UGC 2709			03 23 53.60	+38 40 37.0		5142	3		Moderately large oval. Low surface brightness.
UGC 2710			03 23 58.46	+37 45 20.4		5540	27		
UGC 2714			03 24 20.57	+38 01 13.2		6422	12		
UGC 2715	PGC 12736	BM99-519	03 24 22.81	+40 47 18.6	21.2	3897	60		
UGC 2720			03 24 55.90	+39 07 44.0		6296	39		
UGC 2719	PGC 12757		03 24 56.37	+38 56 35.0		5106	16		
2MASX J03245953+4306493	BM99-547		03 24 59.53	+43 06 47.6	20.4				
2MASX J03250535+4033310	IRAS03217+4023		03 25 05.38	+40 33 29.0	21.1	7007	75		
UGC 2723			03 25 15.62	+42 40 23.6	22.0				Dim, but plotted in Uranometria.
V Zw 344	2MASX J03251789+4154092		03 25 17.80	+41 54 09.0					Surprisingly easy. Not in BM99.
2MASX J03252211+4242457			03 25 22.09	+42 42 45.3					
MCG+7-8-4	CGCG 541-003	PGC 12797	03 25 24.79	+40 32 12.4	21.2	3684	39		Hazy patch occassionally seen next to fairly bright star.
2MASX J03253182+4042082	BM99-562		03 25 31.87	+40 42 07.7	20.3				
UGC 2728	PGC 12812		03 25 43.93	+42 03 45.3		6510	19		
2MASX J03263464+4141423	BM99-596		03 26 34.68	+41 41 43.4	19.6	4226	17		
2MASX J03264957+3936224			03 26 49.60	+39 36 22.2					
UGC 2738	MCG+6-8-21	PGC 12867	03 26 53.71	+39 31 52.3					
2MASX J03275749+4023267	BM99-619		03 27 57.55	+40 23 26.9	19.7				
MCG+7-8-11	CGCG 541-10	PGC 12912	03 27 59.30	+39 54 17.0		4337	14		
2MASX J03281552+4009347	BM99-623		03 28 15.57	+40 09 35.0	20.3				Faint, small oval.
2MASX J03281878+4144567	NPM1G +41.0120		03 28 18.86	+41 44 57.2	20.5				
UGC 2749			03 28 31.11	+40 03 28.5	21.6				
2MASX J03284879+4010066	BM99-637		03 28 48.79	+40 10 07.0	20.6				
UGC 2751			03 28 53.74	+40 02 11.6	20.4				
MCG+7-8-13	CGCG 541-14	PGC 12967	03 29 11.85	+41 23 17.0	20.0	5580	44		Fairly small oval next to triangle of faint stars. NGC1330?
UGC 2756 NED02	MCG+7-8-16		03 29 35.69	+40 52 36.8	20.3				Close pair with UGC2756A. Fainter of pair 30" apart, oriented approx. N/S.
MCG+7-8-17	PGC 12998		03 29 53.87	+39 50 20.6					V. challenging because of nearby brighter stars.
UGC 2760			03 30 09.07	+42 57 09.5	22.1				
